"Sample","Depth","Fe_ppm_citrate_ascorbate","Fe_mg_g_citrate_ascorbate","DateMeasured","Drought","TopoType","Rep"
"Ridge 1","0-15",82.93108628,2.4879325884,"July 2015","Post-drought","Ridge",1
"Ridge 2","0-15",78.56829791,2.3570489373,"July 2015","Post-drought","Ridge",2
"Ridge 3","0-15",87.38917559,2.6216752677,"July 2015","Post-drought","Ridge",3
"Ridge 4","0-15",73.07265125,2.1921795375,"July 2015","Post-drought","Ridge",4
"Ridge 5","0-15",60.00223445,1.8000670335,"July 2015","Post-drought","Ridge",5
"Ridge 6","0-15",69.85222502,2.0955667506,"July 2015","Post-drought","Ridge",6
"Mid-slope 1","0-15",84.88014935,2.5464044805,"July 2015","Post-drought","Mid-slope",1
"Mid-slope 2","0-15",40.36828409,1.2110485227,"July 2015","Post-drought","Mid-slope",2
"Mid-slope 3","0-15",47.55588122,1.4266764366,"July 2015","Post-drought","Mid-slope",3
"Mid-slope 4","0-15",34.50937859,1.0352813577,"July 2015","Post-drought","Mid-slope",4
"Mid-slope 5","0-15",33.96777005,1.0190331015,"July 2015","Post-drought","Mid-slope",5
"Mid-slope 6","0-15",42.57209918,1.2771629754,"July 2015","Post-drought","Mid-slope",6
"Low-slope 1","0-15",11.284719572,0.33854158716,"July 2015","Post-drought","Low-slope",1
"Low-slope 2","0-15",19.461245006,0.58383735018,"July 2015","Post-drought","Low-slope",2
"Low-slope 3","0-15",71.62283849,2.1486851547,"July 2015","Post-drought","Low-slope",3
"Low-slope 4","0-15",61.63017311,1.8489051933,"July 2015","Post-drought","Low-slope",4
"Low-slope 5","0-15",51.63141113,1.5489423339,"July 2015","Post-drought","Low-slope",5
"Low-slope 6","0-15",57.6070907,1.728212721,"July 2015","Post-drought","Low-slope",6
"Valley 1","0-15",57.49115744,1.7247347232,"July 2015","Post-drought","Valley",1
"Valley 2","0-15",58.99900508,1.7699701524,"July 2015","Post-drought","Valley",2
"Valley 3","0-15",75.20262452,2.2560787356,"July 2015","Post-drought","Valley",3
"Valley 4","0-15",89.22845021,2.6768535063,"July 2015","Post-drought","Valley",4
"Valley 5","0-15",70.41992621,2.1125977863,"July 2015","Post-drought","Valley",5
"Valley 6","0-15",76.12230857,2.2836692571,"July 2015","Post-drought","Valley",6
"Ridge 1","15-30",64.83085127,1.9449255381,"July 2015","Post-drought","Ridge",1
"Ridge 2","15-30",36.14798789,1.0844396367,"July 2015","Post-drought","Ridge",2
"Ridge 3","15-30",84.87284321,2.5461852963,"July 2015","Post-drought","Ridge",3
"Ridge 4","15-30",36.81982502,1.1045947506,"July 2015","Post-drought","Ridge",4
"Ridge 5","15-30",56.83630793,1.7050892379,"July 2015","Post-drought","Ridge",5
"Ridge 6","15-30",60.69998729,1.8209996187,"July 2015","Post-drought","Ridge",6
"Mid-slope 1","15-30",71.75508839,2.1526526517,"July 2015","Post-drought","Mid-slope",1
"Mid-slope 2","15-30",49.77259754,1.4931779262,"July 2015","Post-drought","Mid-slope",2
"Mid-slope 3","15-30",35.28171794,1.0584515382,"July 2015","Post-drought","Mid-slope",3
"Mid-slope 4","15-30",23.140880501,0.69422641503,"July 2015","Post-drought","Mid-slope",4
"Mid-slope 5","15-30",56.8986758,1.706960274,"July 2015","Post-drought","Mid-slope",5
"Mid-slope 6","15-30",34.50388943,1.0351166829,"July 2015","Post-drought","Mid-slope",6
"Low-slope 1","15-30",15.359134235,0.46077402705,"July 2015","Post-drought","Low-slope",1
"Low-slope 2","15-30",17.528738561,0.52586215683,"July 2015","Post-drought","Low-slope",2
"Low-slope 3","15-30",58.05309125,1.7415927375,"July 2015","Post-drought","Low-slope",3
"Low-slope 4","15-30",41.23415555,1.2370246665,"July 2015","Post-drought","Low-slope",4
"Low-slope 5","15-30",54.71533604,1.6414600812,"July 2015","Post-drought","Low-slope",5
"Low-slope 6","15-30",32.82282959,0.9846848877,"July 2015","Post-drought","Low-slope",6
"Valley 1","15-30",60.06589205,1.8019767615,"July 2015","Post-drought","Valley",1
"Valley 2","15-30",31.79135225,0.9537405675,"July 2015","Post-drought","Valley",2
"Valley 3","15-30",53.1227063,1.593681189,"July 2015","Post-drought","Valley",3
"Valley 4","15-30",73.79028554,2.2137085662,"July 2015","Post-drought","Valley",4
"Valley 5","15-30",51.67403036,1.5502209108,"July 2015","Post-drought","Valley",5
"Valley 6","15-30",92.73870686,2.7821612058,"July 2015","Post-drought","Valley",6
