"Depth","TopoType","mgFe_II_per_g_HClExtractions","mgFe_III_per_g_HClExtractions","pH","DateMeasured","Drought"
"0-15","Ridge",0.0418865851723579,1.05737245914607,4.3,"April 2015","Pre-drought"
"0-15","Ridge",0.08288719731072,0.841673577140571,4.24,"April 2015","Pre-drought"
"0-15","Ridge",0.070680179028505,1.07373788475254,4.74,"April 2015","Pre-drought"
"0-15","Ridge",0.0662343096167623,1.21599524901891,4.67,"April 2015","Pre-drought"
"0-15","Ridge",0.0302451251997114,0.946267399055414,4.69,"April 2015","Pre-drought"
"0-15","Ridge",0.0286049213898837,0.629589510798252,4.58,"April 2015","Pre-drought"
"0-15","Mid-slope",0.0361190263908066,1.17442847914822,4.75,"April 2015","Pre-drought"
"0-15","Mid-slope",0.0836450277666354,1.83102918997031,4.79,"April 2015","Pre-drought"
"0-15","Mid-slope",0.0484727895436542,0.83851255616347,4.95,"April 2015","Pre-drought"
"0-15","Mid-slope",0.0409516933645601,0.680246285592639,4.88,"April 2015","Pre-drought"
"0-15","Mid-slope",0.0235331663659013,0.608069317236575,4.97,"April 2015","Pre-drought"
"0-15","Mid-slope",0.053462803655903,1.13656206267317,5.13,"April 2015","Pre-drought"
"0-15","Valley",13.7692407340012,1.10798221549969,6.3,"April 2015","Pre-drought"
"0-15","Valley",15.0349149135582,0.462466602191118,5.86,"April 2015","Pre-drought"
"0-15","Valley",18.9080966359507,2.4229822609641,6.01,"April 2015","Pre-drought"
"0-15","Valley",9.59856071508955,1.9342283710635,6.37,"April 2015","Pre-drought"
"0-15","Valley",19.4316673289882,1.0868695286096,6.12,"April 2015","Pre-drought"
"0-15","Valley",12.8743760280285,0.954262466508809,6.08,"April 2015","Pre-drought"
"15-30","Ridge",0.0152791439235141,0.593336289170984,4.74,"April 2015","Pre-drought"
"15-30","Ridge",0.011404860856953,0.199226863187432,4.7,"April 2015","Pre-drought"
"15-30","Ridge",0.0146147162867674,0.318897661364602,4.78,"April 2015","Pre-drought"
"15-30","Ridge",0.0330764083195911,0.496839547166686,4.45,"April 2015","Pre-drought"
"15-30","Ridge",0.0074002191340608,0.20883644727999,4.95,"April 2015","Pre-drought"
"15-30","Ridge",0.00592359964168207,0.252693928687759,4.85,"April 2015","Pre-drought"
"15-30","Mid-slope",0.0152592898185963,0.44149408857705,4.89,"April 2015","Pre-drought"
"15-30","Mid-slope",0.0303116689814859,0.832328778593493,4.95,"April 2015","Pre-drought"
"15-30","Mid-slope",0.0129484899450835,0.346374579004616,5.12,"April 2015","Pre-drought"
"15-30","Mid-slope",0.0205021280522762,0.415231600378242,4.89,"April 2015","Pre-drought"
"15-30","Mid-slope",0.0143148777631441,0.286229318097916,5.16,"April 2015","Pre-drought"
"15-30","Mid-slope",0.0556579311242893,1.06832113902918,5.22,"April 2015","Pre-drought"
"15-30","Valley",14.0568820032208,1.5540236654337,6.07,"April 2015","Pre-drought"
"15-30","Valley",13.601519893573,1.07915814388416,6.3,"April 2015","Pre-drought"
"15-30","Valley",16.4805230465934,0.542029762228835,5.24,"April 2015","Pre-drought"
"15-30","Valley",1.31227446207701,2.37666670609382,5.68,"April 2015","Pre-drought"
"15-30","Valley",18.6164931760037,1.11848983093411,5.82,"April 2015","Pre-drought"
"15-30","Valley",13.9564073401982,2.03240097746854,5.88,"April 2015","Pre-drought"
