"TopoType","Rep","Depth","pH","DateMeasured","NA"
"Ridge ",1,"0-15",4.6,"July 2015","Post-drought"
"Ridge ",2,"0-15",4.53,"July 2015","Post-drought"
"Ridge ",3,"0-15",4.27,"July 2015","Post-drought"
"Ridge ",4,"0-15",4.61,"July 2015","Post-drought"
"Ridge ",5,"0-15",4.63,"July 2015","Post-drought"
"Ridge ",6,"0-15",4.49,"July 2015","Post-drought"
"Mid-slope",1,"0-15",4.76,"July 2015","Post-drought"
"Mid-slope",2,"0-15",4.76,"July 2015","Post-drought"
"Mid-slope",3,"0-15",4.64,"July 2015","Post-drought"
"Mid-slope",4,"0-15",5.02,"July 2015","Post-drought"
"Mid-slope",5,"0-15",5.03,"July 2015","Post-drought"
"Mid-slope",6,"0-15",4.58,"July 2015","Post-drought"
"Low-slope",1,"0-15",4.81,"July 2015","Post-drought"
"Low-slope",2,"0-15",4.83,"July 2015","Post-drought"
"Low-slope",3,"0-15",4.89,"July 2015","Post-drought"
"Low-slope",4,"0-15",5.28,"July 2015","Post-drought"
"Low-slope",5,"0-15",5.07,"July 2015","Post-drought"
"Low-slope",6,"0-15",5.12,"July 2015","Post-drought"
"Valley",1,"0-15",5.1,"July 2015","Post-drought"
"Valley",2,"0-15",4.8,"July 2015","Post-drought"
"Valley",3,"0-15",4.94,"July 2015","Post-drought"
"Valley",4,"0-15",5.27,"July 2015","Post-drought"
"Valley",5,"0-15",5.15,"July 2015","Post-drought"
"Valley",6,"0-15",4.89,"July 2015","Post-drought"
"Ridge ",1,"15-30",4.58,"July 2015","Post-drought"
"Ridge ",2,"15-30",4.93,"July 2015","Post-drought"
"Ridge ",3,"15-30",4.37,"July 2015","Post-drought"
"Ridge ",4,"15-30",4.75,"July 2015","Post-drought"
"Ridge ",5,"15-30",4.7,"July 2015","Post-drought"
"Ridge ",6,"15-30",4.61,"July 2015","Post-drought"
"Mid-slope",1,"15-30",4.53,"July 2015","Post-drought"
"Mid-slope",2,"15-30",4.7,"July 2015","Post-drought"
"Mid-slope",3,"15-30",4.95,"July 2015","Post-drought"
"Mid-slope",4,"15-30",5.12,"July 2015","Post-drought"
"Mid-slope",5,"15-30",5.01,"July 2015","Post-drought"
"Mid-slope",6,"15-30",4.64,"July 2015","Post-drought"
"Low-slope",1,"15-30",4.86,"July 2015","Post-drought"
"Low-slope",2,"15-30",4.79,"July 2015","Post-drought"
"Low-slope",3,"15-30",5.41,"July 2015","Post-drought"
"Low-slope",4,"15-30",5.27,"July 2015","Post-drought"
"Low-slope",5,"15-30",4.93,"July 2015","Post-drought"
"Low-slope",6,"15-30",4.95,"July 2015","Post-drought"
"Valley",1,"15-30",5.24,"July 2015","Post-drought"
"Valley",2,"15-30",5.32,"July 2015","Post-drought"
"Valley",3,"15-30",5.05,"July 2015","Post-drought"
"Valley",4,"15-30",5.04,"July 2015","Post-drought"
"Valley",5,"15-30",5.47,"July 2015","Post-drought"
"Valley",6,"15-30",4.82,"July 2015","Post-drought"
